name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Absolutely Thai;Singapore Arts Training Company providing instruction in Thai classical music and Thai dance. Instructors available for non-Thai dance and music students;http://singapore-companies-directory.com/Company_Profiles/A20/absolutely_thai.htm;Arts, Music, Education;(+65) 8135-6325;;info@absolutelythai.com;;Paphutsorn Wongratanapitak  10 Anson Road #05-17 International Plaza Singapore 079903;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Paphutsorn Wongratanapitak 
Alcyon Creations Pte Ltd;Singapore Art Galleries, Singapore Art Dealers in Oil Paintings, Design, Modern Art;http://singapore-companies-directory.com/Company_Profiles/A72/alcyon_creations.htm;Art Galleries, Art Dealers;(+65) 6327-8505;;;;3 Pickering Street Singapore 048660;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Antz@work;Singapore Education Company provides training services for art education with niche in Cartooning, Animation and Fundamental and Creative drawing skills for students in primary, secondary, ITE and special schools and is assisted by a select group of qualified practicing artists and designers.;http://singapore-companies-directory.com/Company_Profiles/A112/antz_work.htm;Arts, Education & Training, Schools;(+65) 6348-4588;(+65) 6221-0904;Antz@work;;Rosman  Bin Mohd Shahid  1 Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Rosman  Bin Mohd Shahid 
Art and Crafts;Singapore Art of Crafts Training Company offers decorative painting, miniature clay products, Decoupage and online shopping, hand painted decorative pieces for gifts and home decor.;http://singapore-companies-directory.com/Company_Profiles/A129/art_and_crafts.htm;Arts, Education;(+65) 6235-6267;(+65) 6235-9039;artofcrafts@singnet.com.sg;;Ivey Poh  Block 71 Bedok South Road #15-260 Singapore 460071;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Ivey Poh  Block
Art N I;Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. Bring your family and friends and get together to paint. Bond with one another and have fun. There is no better way than to spend time with your family and friends in this wholesome activity. Bring your family or friends and we will provide the rest.;http://singapore-companies-directory.com/Company_Profiles/A130/art.htm;Arts, Education, Arts Classes, Painting  Classes;(+65) 9270-0407;(+65) 6299-3384;promotion-marketing@artni.com.sg;;Mohd Zaheed  23 A Bussorah Street Singapore 199481;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Mohd Zaheed 
Art Friend (BBC) Pte Ltd;Singapore Art Supplies Company suppliers of Artists Materials, Architectural Design Materials, Craft Hobby Materials, Fine Art Materials, Paints, Display Stands, Easels;http://singapore-companies-directory.com/Company_Profiles/A130/art_friend.htm;Artists Materials, Art Supplies;(+65) 6336-8338;;;;Bras Basah Complex-blk 231 #03-33 Singapore 180231;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;Bras Basah
Art Genius Studio;Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. Art Genius Studio wish to develop and groom young artists through the workshop and courses we have. All courses and workshops are conducted by expert Singapore artists;http://singapore-companies-directory.com/Company_Profiles/A130/art_genius_studio.htm;Arts, Education;(+65) 9687-8185;(+65) 6848-1375;yamyoklun@yahoo.com;;Tang Tak Seng  1 Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Tang Tak Seng 
Art Glass Solutions;Singapore glass art and design business based. Large sculptural installations for public and commercial clients to unique items for private clients and exhibitions. Creates high quality artworks with a contemporary and empathic aesthetic which is derived from a deep understanding of glass as a material, visual art and design history as well as culture.;http://singapore-companies-directory.com/Company_Profiles/A130/art_glass_solutions.htm;Arts, Education, Glass Making;(+65) 6440-4957;;dominic@artglasssolutions.com;;Dominic Fonde  30 Kuo Chuan Avenue Singapore 426926;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Dominic Fonde 
Art In Space Pte Ltd;Singapore Art Consultants providing art consultancy services and solutions to a broad base of clients including the property development and hospitality industries, architects, interior design consultants and commercial and public space planners;http://singapore-companies-directory.com/Company_Profiles/A130/art_in_space.htm;Art Consultants, Interior Designers,  Interior Design Consultants;(+65) 6584-2453;(+65) 6585-3837;emalinesze@artinspace.com.sg;;3 Raffles Place # 07-01 Bharat Building Singapore 048617;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;
Art Materials Supply;Singapore Artist Supplies Company Picture Frames Manufacturers, Picture Frames, Wholesalers, Picture Frames Distributors;http://singapore-companies-directory.com/Company_Profiles/A130/art_materials_supply.htm;Picture Frames, Artists Supplies;(+65) 6441-3858;;;;725 East Coast Rd Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Art Zone Pte Ltd;Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. We also conduct short-term flexi-time art & craft workshops such as paper, woodcraft, canvas, pottery and mural painting, clay work, collage, papier mache, origami, craft work using recycled/waste materials, team projects.;http://singapore-companies-directory.com/Company_Profiles/A130/art_zone.htm;Arts, Education;(+65) 6333-8203;(+65) 6472-2410;;;GL Kwok  No. 81 Clemenceau Ave #02-25 UE Shopping Mall Singapore 239917;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;GL Kwok  No.
Art Glass Solutions;Singapore glass art and design business based. Large sculptural installations for public and commercial clients to unique items for private clients and exhibitions. Creates high quality artworks with a contemporary and empathic aesthetic which is derived from a deep understanding of glass as a material, visual art and design history as well as culture.;http://singapore-companies-directory.com/Company_Profiles/A130/art_glass_solutions.htm;Arts, Education, Glass Making;(+65) 6440-4957;;dominic@artglasssolutions.com;;Dominic Fonde  30 Kuo Chuan Avenue Singapore 426926;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Dominic Fonde 
Arty Art Gallery;Houses Myanmar Paintings, Myanmar Art, Burmese Paintings, Burmese Art, Fine Art. Hosts and organizes incessant art events and art exchange programmes to get maximum global exposure for the artists.;http://singapore-companies-directory.com/Company_Profiles/A133/arty_art_gallery.htm;Art Galleries, Myanmar Paintings, Myanmar  Art, Burmese Paintings, Burmese Art, Fine Art;(+65) 6729-9203;(+65) 6491-5207;aag@artyartgallery.com;;55 Verde View Singapore 688684;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;
Bali Connection;Bali Connection specialises in the design and production of stone artworks and the manufacture of custom-made furniture and accessories for both interior and land. Collaborating with Interior Design, Architects & Landscape companies in the region and beyond, Bali Connection produces a wide range of customised interior and hardscape products. Some of these include furniture, decorative and functional artworks and accessories for hotels, resorts, golf clubs, condominiums and residential sites.;http://singapore-companies-directory.com/Company_Profiles/B8/bali_connection.htm;Furniture Manufacturers, Furniture  Stores, Furniture Dealers;(+65) 6235-7202;;furnmanu@pacific.net.sg;;71 Cavenagh Rd #10-332  Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;
Benaka Art Conservation;"Singapore Art Conservationists, Picture Frames, Art Storage Boxes. Singapore-based specialist in conservation & restoration of works of art on paper, & paintings; offers preventive conservation, survey & documentation of art collections, training programmes, acid-free frames & storage boxes";http://singapore-companies-directory.com/Company_Profiles/B30/benaka_art_conservation.htm;Conservationists, Picture Frames, Art  Storage Boxes;;;;http://www.benakaartconservation.com; Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;
Blue Lotus Fine Art;"Singapore Art gallery promoting local & South East Asian artists; sells & exhibits ceramics, paintings, prints, photographs, sculpture, & specialised handicrafts; conducts art appreciation classes. Offers art framing services";http://singapore-companies-directory.com/Company_Profiles/B54/blue_lotus_fine.htm;Art Galleries;(+65) 6457-9192;;;;6 Napier Road  Singapore 258499;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Bodhi Art Pte Ltd;Singapore Art Gallery, Art Dealers, Antiques Dealers. Singapore Promoters of contemporary fine arts with galleries in Singapore and India;http://singapore-companies-directory.com/Company_Profiles/B58/bodhi_art.htm;Art Galleries, Art Dealers, Antiques;(+65) 6235-1497;(+65) 6235-1059;;;11, Unity St #01-19  Singapore 237995;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Ceramic House;Singapore Pottery Studio, Singapore Pottery Courses, Pottery courses from Basic to Advance level;http://singapore-companies-directory.com/Company_Profiles/C28/ceramic_house.htm;Pottery Studio, Pottery Courses;(+65) 6784-0024;(+65) 6784-0024;ceramic_house@yahoo.com.sg;;Blk 9004 Tampines St 93 #02-102  Singapore 528838;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;
Christie's International Singapore;Singapore Auctioneers, Singapore Art Auction Services, Singapore Asset Appraisers, Singapore Valuers;http://singapore-companies-directory.com/Company_Profiles/C66/christies_international_singapore.htm;Art Auction Services, Asset Appraisers,  Valuers;(+65) 6235-3828;(+65) 6235-8128;Singaporewtang@christies.com;;Wheelock Place 501 Orchard Rd #19-03  Singapore 228221;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;
Alkem Company (Singapore) Pte. Ltd;Singapore Publishing Company, Book Dealers, Book Shops, Book Stores, Book Retailers, Publishers. A leading publisher of educational books, training kits, e-learning and educational materials and digital contents distributor.;http://singapore-companies-directory.com/Company_Profiles/A76/alkem_company.htm;Books, Book Dealers, Book Shops, Book  Stores, Book Retailers, Publishers;(+65) 6265-6666;(+65) 6261-7881;;;1 Penjuru Cl Singapore 608617;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
All-star Publishing (Singapore);Singapore publishing firm which produces Mathematics and Science Assessment books. Our aim is to produce quality educational resources mainly for schools as well as the general public to enhance the learning experience of school students.;http://singapore-companies-directory.com/Company_Profiles/A77/all_star_publishing.htm;Singapore Mathematics and Science  Assessment Books;(+65) 9633-2598;(+65) 9633-2598;;;Anthony Lee  52 Woodlands Street 13 #05-01 / #05-04 Singapore 738603;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;Anthony Lee 
Alliance Advanced Sales Distributor;Singapore Suppliers of Bookbinders Equipment, Bookbinding Supplies, Bookbinding Equipment Bookbinding Supplies;http://singapore-companies-directory.com/Company_Profiles/A78/alliance_advanced_sales.htm;Bookbinders Equipment, Bookbinding  Supplies;(+65) 6285-2559;;;;1006 Tai Seng Ave #01-2598 Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Anata Solutions Pte Ltd;Singapore Book Publishers, Publishing Consultants;http://singapore-companies-directory.com/Company_Profiles/A100/anata_solutions.htm;Book Publishers, Publishing Consultants;(+65) 6747-4361;;;;627A, Aljunied Rd #10-04 Singapore 389842;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Andalus Corporation Company;Singapore Book Publishers, Singapore Publishing Consultants;http://singapore-companies-directory.com/Company_Profiles/A101/andalus_corpn.htm;Book Publishers, Publishing Consultants;(+65) 6784-8769;(+65) 6363-2091;;;361, Tampines St 34 #01-401 Singapore 520361;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Angel Book Centre;Singapore Book Dealers, Book Shops, Book Stores, Book Retailers. Unpretentious Rental Book Store;http://singapore-companies-directory.com/Company_Profiles/A106/angel_book_centre.htm;Books, Book Dealers, Book Shops, Book  Stores, Book Retailers;(+65) 6734-0669;;;;14, Scotts Rd #03-78 Far East Plaza Singapore 228213;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
APAC Publishers Services Pte Ltd;Singapore Book Publishers, Publishing Consultants. Wholesale distributor for major academic and professional publishers from USA, UK, Germany, Switzerland, Australia and South Africa.;http://singapore-companies-directory.com/Company_Profiles/A113/apac_publishers_services.htm;Book Publishers, Publishing Consultants;(+65) 6844-7333;(+65) 6747-8916;service@apacmedia.com.sg;;Steven Goh  8, Lor Bakar Batu #05-02 Singapore 348743;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Steven Goh  8, Lor Bakar Batu
Asia Book Company;Singapore Book Dealers, Book Shops, Book Stores, Book Retailers;http://singapore-companies-directory.com/Company_Profiles/A200/asia_book_company.htm;Books, Book Dealers, Book Shops, Book  Stores, Book Retailers;(+65) 6844-0787;(+65) 6251-1581;;;1 Butterworth Lane #04-04 Dawn Ville Singapore 439444;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Asia City Publishing Pte Ltd;Singapore Book Publishers, Publishing Consultants. Publishers of Newspapers, Books and Periodicals;http://singapore-companies-directory.com/Company_Profiles/A201/asia_city_publishing.htm;Book Publishers, Publishing Consultants,  Media & Entertainment;(+65) 6323-2512;;;;180 Cecil Street #13-01 Bangkok Bank Building Singapore 69546;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Asiawide Print Holdings Pte Ltd;Singapore Printers, Printing Services, Graphic Designers, Translators, Advertising and Creative Graphics Design, Corporate Logo Creation and Identity Branding, Copyrighting, Translation, Editorial Services, Books Publishing, Booklets;http://singapore-companies-directory.com/Company_Profiles/A148/asiawide_print_holdings.htm;Printers, Printing Service, Graphic  Designers, Translators;(+65) 6858-3363;(+65) 6858-3665;;;31 Ubi Road 1 #03-03 Aztech Building Singapore 408694;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Attributes Pte Ltd;Singapore Book Dealers, Book Shops, Book Stores, Book Retailers;http://singapore-companies-directory.com/Company_Profiles/A160/attributes.htm;Books, Book Dealers, Book Shops, Book  Stores, Book Retailers;(+65) 6795-7787;(+65) 6795-7737;;;1, Jurong West St 91 #01-00 Singapore 649041;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Bible Society of Singapore;"Singapore Supplier of Bibles & scriptures in many languages to churches & Christian bookshops; distributes the Bible at subsidised rates for evangelistic purposes & to the poor in Singapore; part of United Bible Societies";http://singapore-companies-directory.com/Company_Profiles/B42/bible_society.htm;Religious Organizations;(+65) 6337-3222;;info@bible.org.sg;;7 Armenian Street, Bible House  Singapore 359340;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;
Blangah Books & Stationery Centre;Singapore Book Shop Suppliers of Books, Magazines, Stationery Supplies, Office Supplies;http://singapore-companies-directory.com/Company_Profiles/B51/blangah_books_stationery.htm;Stationery Supplies, Books, Book Dealers,  Book Shops, Book Stores;(+65) 6270-0895;(+65) 6270-8728;;;65, Telok Blangah Dr  Singapore 100065;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Bookaburra Books Pte Ltd;"Singapore Book Shop, Book Dealers, Children's bookseller having retail outlet at Forum The Shopping Mall; has a wide selection of children's books, particularly a fine range from Australian publishers and organises regular book fairs in the local schools and international schools in Singapore";http://singapore-companies-directory.com/Company_Profiles/B61/bookaburra_books.htm;Book Shops, Book Dealers;(+65) 6286-1303;(+65) 3286-1292;enquiries@bookaburra.com;;25, Harrison Rd #06-00  Singapore 369646;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;
Books & More Pte Ltd;Singapore Book Distribution Company. Distributors of adult and high quality children's library books in Singapore. Also distributes a wide range of products, including books, audio, video, multimedia CD-ROM's and related services to retail stores and libraries.;http://singapore-companies-directory.com/Company_Profiles/B61/books_more.htm;Book Shops, Book Dealers, Book Publishers;(+65) 6256-5166;;info@pms.com.sg;;10-C Jalan Ampas #07-01 Ho Seng Lee Flatted  Warehouse  Singapore 329513;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Brian Lim
BooksActually;Singapore bookstore and Book Publishers specialising in literature. Publishes and distributes books. Also hand-stitches notebooks & produces stationery products;http://singapore-companies-directory.com/Company_Profiles/B61/booksactually.htm;Bookshops, Publishers, Stationery;(+65) 6222-9195;;;;86 Club Street  Singapore 069454;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Borders Books Music & Cafe;Singapore Book Shops, Book Dealers, Bookshops, Gift Stores. Two stores in Singapore, Marine Parade, Orchard Road Sales of over 200,000 books, music DVDs, local magazines, imported magazines, designer stationery and gifts;http://singapore-companies-directory.com/Company_Profiles/B64/borders_books_music.htm;Book Shops, Book Dealers, Bookshops,  Gifts;(+65) 6235-7146;;;;501, Orchard Rd #01-00  Singapore 238880;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
Carkit (Fast East) Pte Ltd;Singapore Magazine Distributors, Magazine publishers includes titles of diverse interests in our distribution service in various territories. Publisher's representative, representing publishers from Australia, Europe, Hong Kong, U.K., U.S., and Taiwan.;http://singapore-companies-directory.com/Company_Profiles/C17/carkit_fast_east.htm;Magazine Distributors, Publisher's  Representative;(+65) 6282-8618;(+65) 6282-7098;carkit@singnet.com.sg;;3 New Industrial Road #04-02B/C Kimly Building (Off  Paya Lebar Road)  Singapore 537126;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;Managing Director;Andy Tan
Casco Publications Pte Ltd;"Singapore Book Publishers, Publishing Consultants, Books, Book Dealers, Book Shops, Book Stores. Publishing; retailers & distributors of stationery books and magazines";http://singapore-companies-directory.com/Company_Profiles/C20/casco_publications.htm;Book Publishers, Publishing Consultants,  Books, Book Dealers, Book Shops, Book Stores;(+65) 6748-3101;(+65) 6748-9139;casco@magix.com.sg;;53 Ubi Avenue 1 #05-54 Paya Ubi Industrial Park  Singapore 408934;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;Managing Director;Peter Low Hock Eng
Chee Seng Book Store Pte Ltd;Singapore Stationery Company Suppliers of calendars, diaries, greeting cards, leather products, Ready-made & Tailor-made Calendars, All Kinds of Diaries, Management Diaries, Desk Diaries, Table Planners, Organisers, Portfolio, Leather, PU Products, Christmas & Chinese New Year Cards, Wire-O Binding Services;http://singapore-companies-directory.com/Company_Profiles/C39/chee_seng_book.htm;Gifts, Stationery, Calendars, Desk  Diaries, Table Planners, Greeting Cards;(+65) 6488-1612;(+65) 6487-2806 (+65) 6487-2800;cheesen@singnet.com.sg;;24 New Industrial Road #06-02 Pei Fu Building  Singapore 536210;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;
Choose & Hunt Enterprises Pte Ltd;"Singapore Magazine Publishers, Publishing Consultants, Media Services. Publisher of ""Young Times"" Magazine";http://singapore-companies-directory.com/Company_Profiles/C64/choose_hunt_enterprise.htm;Publishing Consultants, Media Sevices;(+65) 6336-4236 (+65) 6883-0708,;(+65) 6353-5441 (+65) 6883-0443,;sunnyway25@yahoo.com;;;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Annie Song ,
Chuang Yi Publishing Pte Ltd;"Singapore Publishers of Manga (Japanese comic books) & magazines; Comics Distributors, Publishers, Publishing Consultants, Media Services";http://singapore-companies-directory.com/Company_Profiles/C72/chuang_yi_publishing.htm;Comics Distributors, Publishers,  Publishing Consultants, Media Services;(+65) 6274-8713 (+65) 6276-7274;(+65) 6276-7314 (+65) 6278-0253;info@chuangyi.com.sg;;1003 Bukit Merah Central, Redhill Industrial  Estate, #02-01/02/03/04/05  Singapore 159836;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Rony Neo
Christian Growth Resources Ltd;Singapore Christian Book Shops, Singapore Christian Book Dealers, Wholesale, Book Shops. Dr Tan Khian Seng and his wife founded Christian Growth Resources in 1982.They began their ministry conducting seminars, conferences and worship evenings for the Body of Christ in Singapore and Malaysia.;http://singapore-companies-directory.com/Company_Profiles/C66/christian_growth_resources.htm;Book Shops, Book Dealers;(+65) 6270-9677 (+65) 6337-6876;(+65) 6337-5279;growthtraining@gmail.com;;179, River Valley Rd #05-15  Singapore 179033;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Online;;Dr Tan Khian Seng
D'chee Craftshops;Singapore Handicrafts Company Suppliers of Beads, Handicraft Books, Clothing, Glass, Glass Working Tools, Glass Working Equipment, Handicraft Materials, Hobby Materials, Handicraft Supplies, Hobby Services, Knitted Fabrics;http://singapore-companies-directory.com/Company_Profiles/D1/d_chee_craftshops.htm;Art Goods, Art Supplies, Craft Supplies,  Artificial Flower Components, Handicrafts;(+65) 6776-0551;;;;501, West Coast Dr #01-288  Singapore 120501;singapore-companies-directory.com;Other Lifestyle (All categories);Art Galleries, Bookshops;Offline;;
