name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
A-Power Engineering Pte Ltd;Singapore Engineering Company engaged in the design, installation, testing, and commissioning of electrical power, lighting, air conditioning, mechanical and heating ventilation, fire protection, plumbing and sanitary, telephone, and data networking systems. It provides its project management and maintenance management services to commercial buildings, industrial buildings, and condominiums.;http://singapore-companies-directory.com/Company_Profiles/A10/a_power_engineering.htm;Real  Estate & Construction, Electrical Contractors,  Construction and Remodeling, Fire  Prevention & Protection Systems, Building Automation,  Industrial & Process Control Systems;(+65) 6765-1378;(+65) 6791-7628;general@apower.com.sg;;Chua Seng Cheong  51 Bukit Batok Crescent #06-28 Unity Centre Singapore 658077;singapore-companies-directory.com;Furniture;Lighting;Online;;Chua Seng Cheong  51 Bukit Batok Crescent #06-28 Unity Centre Singapore 658077
Acronman Electronics;Singapore Electronics Trading Company, Electrical Equipment, Electrical Equipment, Electrical Components Trading Company. Specializing in buying and selling excess electronic components, electronic parts, test equipment, consumer electronics products, electronic kit sets, Led Lightings, Electronic Components, Electronic Dictionary, Rf Modules, Rf Components, Obsolete Electronic Components, Computer Notebook Fans.;http://singapore-companies-directory.com/Company_Profiles/A31/acronman_electronics.htm;Electrical & Electronics, Led Lightings,  Electronic Components, Electronic Dictionary, Lcd, Sporting  Goods, Rf Components, Obselete Components, Notebook Fans, Rf  Module;(+65) 6425-0110;(+65) 6561-4688;sales@circuitdiy.com;;Chee Leong Goh  Blk 2024 Bukit Batok St 23 #02-44 Singapore 659529;singapore-companies-directory.com;Furniture;Lighting;Online;;Chee Leong Goh  Blk 2024 Bukit Batok St 23 #02-44 Singapore 659529
Advance Synergy Pte Ltd;Singapore Electrical Equipment Company Suppliers of Video Equipment, Automation Systems, Lighting, TV System Equipment, Closed Circuits, Architectural Stainless Steel, Sound Systems Audio Equipment;http://singapore-companies-directory.com/Company_Profiles/A43/advance_synergy.htm;Video Equipment, Automation Systems,  Lighting, TV System Equipment, Closed Circuits,  Architectural Stainless Steel, Sound Systems Audio Equipment;(+65) 337-0081;;avsynergy@pacific.net.sg;;1 Coleman Street #02-27 The Adelphi Singapore 179803;singapore-companies-directory.com;Furniture;Lighting;Online;;
Aifa (S) Pte Ltd;Singapore Furnishings Company Suppliers of Lighting, Lamps, Electrical Appliances, Curtains, Home Furnishings;http://singapore-companies-directory.com/Company_Profiles/A57/aifa.htm;Electrical Appliances, Curtains, Home  Furnishings;(+65) 6747-2166;(+65) 6741-5924;aifas@singnet.com.sg;;9 Kaki Bukit Rd 2 #04-10 Gordon Warehouse Building Singapore 417842;singapore-companies-directory.com;Furniture;Lighting;Online;;
Akira Singapore Pte Ltd;Singapore Electric Appliances Manufacturers, Electric Appliances Wholesalers. Color TV,DVD/DVR/VCP/VCR, Air-Conditioners, Small Appliances, Kitchen Appliances, Plasma TV's, LCD TV's, Projection TV, Audio Hi-Fi Products, Lightings, Toys, Communications Equipment, Recording Media, Digital Imaging, Massage Chairs, Water -based Vacuum Cleaners, Car Audio Systems;http://singapore-companies-directory.com/Company_Profiles/A67/akira_singapore.htm;Electric Appliances Manufacturers,  Electric Appliances Wholesalers;(+65) 6793-0110;(+65) 6862-8921;marketing@myakira.com;;10 Toh Guan Rd #10-00 Singapore 608838;singapore-companies-directory.com;Furniture;Lighting;Online;;
Allmaster Enterprise;Singapore Lighting Company Suppliers of Lighting Poles, Queuing Equipment & Systems, Signcraft Installation;http://singapore-companies-directory.com/Company_Profiles/A81/allmaster_enterprise.htm;Lighting Poles, Queuing Equipment &  Systems;(+65) 6445-5301;(+65) 6241-8884;felix.chew@allmaster.com.sg;;Jessie Foo  3011 Bedok Industrial Park E #03-2014 Singapore 489977;singapore-companies-directory.com;Furniture;Lighting;Online;;Jessie Foo  3011 Bedok Industrial Park E #03-2014 Singapore 489977
Almanach Lamps & Luminaires Pte Ltd;Singapore Lighting Company Suppliers of Lamps, Lighting, photo lighting applications. Almanach Lamps & Luminaires Pte Ltd has a history counting back to more than fifteen years in the lighting industry.;http://singapore-companies-directory.com/Company_Profiles/A82/almanach_lamps.htm;Lamps, Lighting;(+65) 6294-6303;(+65) 6294-6335;hr@almanach.com.sg;;41, Tessensohn Rd Singapore 217660;singapore-companies-directory.com;Furniture;Lighting;Online;;
American Flagpole Lighting Pole International;Singapore Suppliers of Flag Poles, Signage, Banners, Lighting Poles;http://singapore-companies-directory.com/Company_Profiles/A93/american_flagpole_lighting.htm;Flag Poles, Signage, Banners, Lighting  Poles;(+65) 6246-4283;(+65) 6246-3686;;;91 Up Changi Rd East Singapore 486183;singapore-companies-directory.com;Furniture;Lighting;Offline;;
Amico Technology International Pte Ltd;Singapore Sign making Company Suppliers of Signs, Lighting Poles, Flag Poles, Silkscreen Printing;http://singapore-companies-directory.com/Company_Profiles/A94/amico_technology_international.htm;Signs, Sign Makers, Lighting Poles, Flag  Poles;(+65) 6442-0828;(+65) 6449-6588;amico_tech@pacific.net.sg;;3011, Bedok Ind Pk E #01-2006 Singapore 489977;singapore-companies-directory.com;Furniture;Lighting;Online;;
ASP Engineering;Singapore Suppliers of Energy Saving Lamps. T5 Converter is a retrofit conversion pack for both switch start and quick start luminaries. Almost all of the raw materials including mercury, glass and metal can be decomposed and 100% recycled. The doubling of service life means the tubes are replaced less frequently. All in all, T5 converter is the optimum eco-friendly solution.;http://singapore-companies-directory.com/Company_Profiles/A150/asp_engineering.htm;Semiconductors, Automation, Precision  Machining, Energy Saving Lamp;(+65) 6754-3243;(+65) 6754-3243;;;Sean Lee  151 Chin Swee Road # 14-01 Manhattan House Singapore 169876;singapore-companies-directory.com;Furniture;Lighting;Offline;;Sean Lee  151 Chin Swee Road # 14-01 Manhattan House Singapore 169876
